"id (S)","financialRisk_score (N)","question1 (S)","question10 (S)","question11 (S)","question12 (S)","question13 (S)","question14 (S)","question15 (S)","question16 (S)","question17 (S)","question18 (S)","question19 (S)","question2 (S)","question20 (S)","question21 (S)","question22 (S)","question23 (S)","question24 (S)","question25 (S)","question26 (S)","question27 (S)","question28 (S)","question3 (S)","question4 (S)","question5 (S)","question6 (S)","question7 (S)","question8 (S)","question9 (S)","riskActivity_score (N)"
"9aa26b1d-79bd-4c4e-92e6-b8ba77ad6070","25","Cautious","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A portfolio of 15 common stocks","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","One month's salary","Male","Under 25","Never married","Some college/trade/vocational training","$100,000 or greater","No","$1,000 in cash","Speed up","Car","Sprint away as fast as you can","Quiet","Drag","Sneak","Bottle","Fight","Swing","Go as scheduled, reasoning that you need the time to prepare for a job search","Deposit it in a bank account, money market account, or an insured CD","Not at all comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$800 gain best case; $200 loss worst case","A sure gain of $500","13"
"9b8a730f-3296-407b-8556-7e375fbb5b20","31","Willing to take risks after completing adequate research","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A mutual fund that owns stocks and bonds","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","Three month's salary","Male","45-54","Married","Bachelors degree","$100,000 or greater","Yes","A 25% chance at winning $10,000","Confront him","Car","Slowly walk away (maybe you’ll lose him)","Quiet","Drag","Sneak","Bottle","Plea","Throw","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in stocks or stock mutual funds","Somewhat comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$800 gain best case; $200 loss worst case","A sure gain of $500","12"
"9bfa98bd-6f1f-4363-8274-d90d14536192","18","Cautious","A sure loss of $500","A savings account or money market mutual fund","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","One month's salary","Female","Under 25","Never married","High school graduate","$50,000-$74,999","No","$1,000 in cash","Speed up","Car","Sprint away as fast as you can","Quiet","Drag","Sneak","Bottle","Fight","Throw","Go as scheduled, reasoning that you need the time to prepare for a job search","Deposit it in a bank account, money market account, or an insured CD","Not at all comfortable","Loss","Hold the bonds","$800 gain best case; $200 loss worst case","A sure gain of $500","12"
"9d8c2349-53c3-4e2a-99bd-42d6ac90fb95","25","Cautious","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A savings account or money market mutual fund","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","One month's salary","Male","Under 25","Never married","High school graduate","$50,000-$74,999","Yes","A 50% chance at winning $5,000","Confront him","Car","Sprint away as fast as you can","Quiet","Drag","Sneak","Bottle","Fight","Swing","Take a much more modest vacation","Deposit it in a bank account, money market account, or an insured CD","Not at all comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$2,600 gain best case; $800 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","13"
"a0dcf7b7-0d73-4ad9-929f-0806509081b3","33","Willing to take risks after completing adequate research","A sure loss of $500","A portfolio of 15 common stocks","10% in low-risk investments 40% in medium-risk investments 50% in high-risk investments","Three month's salary","Male","35-44","Not married but living with significant other","Some college/trade/vocational training","$100,000 or greater","Yes","$1,000 in cash","Speed up","Car","Sprint away as fast as you can","Quiet","Drag","Outside","Bottle","Fight","Swing","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in stocks or stock mutual funds","Very comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$2,600 gain best case; $800 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","15"
"a5664b60-df86-47c8-b8f5-ded8f287ae41","28","Willing to take risks after completing adequate research","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A mutual fund that owns stocks and bonds","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","Nothing","Male","Under 25","Never married","Bachelors degree","$100,000 or greater","No","A 50% chance at winning $5,000","Speed up","Car","Sprint away as fast as you can","Run","Drag","Outside","Knife","Plea","Throw","Take a much more modest vacation","Invest it in stocks or stock mutual funds","Somewhat comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$2,600 gain best case; $800 loss worst case","A sure gain of $500","14"
"a775080a-0496-4935-ad74-628ef748d94e","26","Willing to take risks after completing adequate research","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A mutual fund that owns stocks and bonds","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","One month's salary","Male","25-34","Married","Bachelors degree","$100,000 or greater","Yes","A 50% chance at winning $5,000","Confront him","Car","Sprint away as fast as you can","Quiet","Drag","Outside","Knife","Fight","Swing","Cancel the vacation","Invest it in safe high quality bonds or bond mutual funds","Somewhat comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$800 gain best case; $200 loss worst case","A sure gain of $500","15"
"a7b55d16-eabe-4e3b-aace-3fc3fee15399","25","Cautious","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A mutual fund that owns stocks and bonds","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","One month's salary","Male","25-34","Married","Bachelors degree","$100,000 or greater","No","A 50% chance at winning $5,000","Speed up","Car","Sprint away as fast as you can","Quiet","Drag","Sneak","Bottle","Plea","Swing","Take a much more modest vacation","Invest it in safe high quality bonds or bond mutual funds","Somewhat comfortable","Uncertainty","Hold the bonds","$200 gain best case; $0 gain/loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","12"
"a7d12222-8650-4e56-b42b-def4b1cc6837","20","Willing to take risks after completing adequate research","A sure loss of $500","A mutual fund that owns stocks and bonds","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","Nothing","Male","Under 25","Never married","Some college/trade/vocational training","Less than $25,000","No","$1,000 in cash","Speed up","Car","Sprint away as fast as you can","Quiet","Drag","Outside","Bottle","Fight","Throw","Cancel the vacation","Invest it in stocks or stock mutual funds","Somewhat comfortable","Loss","Hold the bonds","$800 gain best case; $200 loss worst case","A sure gain of $500","13"
"a8529d03-25e3-4512-9c1f-6613283c31bf","27","Cautious","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A mutual fund that owns stocks and bonds","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","One month's salary","Male","Under 25","Never married","Some high school or less","$100,000 or greater","No","A 50% chance at winning $5,000","Confront him","Car","Sprint away as fast as you can","Run","Drag","Sneak","Bottle","Fight","Swing","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in safe high quality bonds or bond mutual funds","Somewhat comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$2,600 gain best case; $800 loss worst case","A sure gain of $500","13"
"a863fa25-baef-4f3b-8b4b-fc1d72e6e821","23","Cautious","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A mutual fund that owns stocks and bonds","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","Nothing","Female","Under 25","Married","Some college/trade/vocational training","Less than $25,000","No","$1,000 in cash","Speed up","Car","Sprint away as fast as you can","Run","Drag","Outside","Bottle","Plea","Throw","Take a much more modest vacation","Invest it in safe high quality bonds or bond mutual funds","Somewhat comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$800 gain best case; $200 loss worst case","A sure gain of $500","13"
"aa62e218-026a-4d0e-b092-2e01c26ce03f","23","Cautious","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A mutual fund that owns stocks and bonds","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","One month's salary","Female","Under 25","Never married","High school graduate","$100,000 or greater","No","A 50% chance at winning $5,000","Speed up","Car","Sprint away as fast as you can","Quiet","Drag","Outside","Bottle","Fight","Throw","Take a much more modest vacation","Invest it in safe high quality bonds or bond mutual funds","Not at all comfortable","Uncertainty","Hold the bonds","$800 gain best case; $200 loss worst case","A sure gain of $500","13"
"b03246e1-a977-466d-8ce8-e888c7924cad","34","Willing to take risks after completing adequate research","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A mutual fund that owns stocks and bonds","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","One month's salary","Male","35-44","Married","Graduate or professional degree","$100,000 or greater","No","A 25% chance at winning $10,000","Confront him","Car","Slowly walk away (maybe you’ll lose him)","Quiet","Drag","Outside","Bottle","Fight","Swing","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in stocks or stock mutual funds","Very comfortable","Opportunity","Hold the bonds","$2,600 gain best case; $800 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","14"
"b35976f4-4651-4ec3-aa3d-8899a21b4cf0","28","Willing to take risks after completing adequate research","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A mutual fund that owns stocks and bonds","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","One month's salary","Male","45-54","Married","Bachelors degree","$100,000 or greater","Yes","A 25% chance at winning $10,000","Confront him","Car","Sprint away as fast as you can","Quiet","Drag","Outside","Knife","Plea","Throw","Take a much more modest vacation","Invest it in stocks or stock mutual funds","Somewhat comfortable","Uncertainty","Hold the bonds","$800 gain best case; $200 loss worst case","A sure gain of $500","13"
"b4206fc3-0b84-4226-9bf8-a88b68f9b8bd","22","Willing to take risks after completing adequate research","A sure loss of $500","A mutual fund that owns stocks and bonds","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","One month's salary","Female","25-34","Married","Bachelors degree","$100,000 or greater","Yes","$1,000 in cash","Speed up","Car","Sprint away as fast as you can","Quiet","Drag","Outside","Bottle","Fight","Throw","Take a much more modest vacation","Deposit it in a bank account, money market account, or an insured CD","Somewhat comfortable","Uncertainty","Hold the bonds","$2,600 gain best case; $800 loss worst case","A sure gain of $500","14"
"bf2e789b-b8f3-48e5-95c0-e0d39f542bcc","47","A real gambler","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A single startup venture","10% in low-risk investments 40% in medium-risk investments 50% in high-risk investments","Six month's salary","Male","Under 25","Never married","Some college/trade/vocational training","$100,000 or greater","Yes","A 5% chance at winning $100,000","Speed up","Car","Slowly walk away (maybe you’ll lose him)","Quiet","Drag","Sneak","Knife","Fight","Swing","Extend your vacation, because this might be your last chance to go first-class","Invest it in stocks or stock mutual funds","Very comfortable","Thrill","Sell the bonds put all the money into real estate, and borrow additional money to buy more","$4,800 gain best case; $2,400 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","16"
"c1b8f43a-5c06-4241-97d7-8d8a35e8e21f","31","Willing to take risks after completing adequate research","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A portfolio of 15 common stocks","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","One month's salary","Female","55-64","Married","Some college/trade/vocational training","$50,000-$74,999","No","$1,000 in cash","Speed up","Car","Sprint away as fast as you can","Run","Drag","Sneak","Bottle","Fight","Swing","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in stocks or stock mutual funds","Somewhat comfortable","Opportunity","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$2,600 gain best case; $800 loss worst case","A sure gain of $500","14"
"cc71fa0e-0ef2-46fb-8987-b6a693a4f174","29","Willing to take risks after completing adequate research","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A mutual fund that owns stocks and bonds","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","One month's salary","Male","Under 25","Not married but living with significant other","Bachelors degree","$75,000-$99,999","No","A 50% chance at winning $5,000","Speed up","Car","Sprint away as fast as you can","Quiet","Drag","Outside","Bottle","Plea","Swing","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in stocks or stock mutual funds","Somewhat comfortable","Loss","Hold the bonds","$800 gain best case; $200 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","13"
"d7b2b867-d559-4d6e-9002-34dd53b26b6f","33","Willing to take risks after completing adequate research","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A mutual fund that owns stocks and bonds","10% in low-risk investments 40% in medium-risk investments 50% in high-risk investments","Nothing","Male","35-44","Married","Bachelors degree","$100,000 or greater","No","A 50% chance at winning $5,000","Speed up","Woods","Sprint away as fast as you can","Quiet","Drag","Outside","Bottle","Plea","Swing","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in stocks or stock mutual funds","Very comfortable","Opportunity","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$4,800 gain best case; $2,400 loss worst case","A sure gain of $500","14"
"d83c90eb-bef7-4460-916a-c3f2dc786581","25","Willing to take risks after completing adequate research","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A mutual fund that owns stocks and bonds","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","One month's salary","Male","Under 25","Never married","Some college/trade/vocational training","Less than $25,000","Yes","A 50% chance at winning $5,000","Speed up","Car","Sprint away as fast as you can","Quiet","Drag","Sneak","Bottle","Fight","Swing","Cancel the vacation","Deposit it in a bank account, money market account, or an insured CD","Not at all comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$2,600 gain best case; $800 loss worst case","A sure gain of $500","14"
"d9c62fad-91dd-4c2a-9837-6dce021b468d","33","Willing to take risks after completing adequate research","A sure loss of $500","A mutual fund that owns stocks and bonds","10% in low-risk investments 40% in medium-risk investments 50% in high-risk investments","One month's salary","Male","Under 25","Never married","Bachelors degree","$100,000 or greater","Yes","A 50% chance at winning $5,000","Speed up","Car","Slowly walk away (maybe you’ll lose him)","Quiet","Drag","Outside","Knife","Fight","Swing","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in stocks or stock mutual funds","Very comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$4,800 gain best case; $2,400 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","17"
"dd0e63b3-9010-4921-b380-7cc530e1184d","29","Willing to take risks after completing adequate research","A sure loss of $500","A portfolio of 15 common stocks","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","One month's salary","Male","45-54","Married","Bachelors degree","$100,000 or greater","Yes","A 50% chance at winning $5,000","Confront him","Car","Sprint away as fast as you can","Quiet","Drag","Outside","Knife","Fight","Swing","Take a much more modest vacation","Invest it in stocks or stock mutual funds","Somewhat comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$4,800 gain best case; $2,400 loss worst case","A sure gain of $500","15"
"e855ceb0-8210-43e1-8f51-35ba910e20ad","21","Willing to take risks after completing adequate research","A sure loss of $500","A savings account or money market mutual fund","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","One month's salary","Female","Under 25","Never married","Some college/trade/vocational training","$50,000-$74,999","Yes","A 50% chance at winning $5,000","Speed up","Car","Sprint away as fast as you can","Quiet","Drag","Outside","Bottle","Fight","Throw","Take a much more modest vacation","Deposit it in a bank account, money market account, or an insured CD","Somewhat comfortable","Opportunity","Hold the bonds","$200 gain best case; $0 gain/loss worst case","A sure gain of $500","14"
"e861d50c-c467-4857-bfba-a33258c95447","25","Willing to take risks after completing adequate research","A sure loss of $500","A mutual fund that owns stocks and bonds","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","One month's salary","Male","Under 25","Never married","Some college/trade/vocational training","$100,000 or greater","Yes","A 50% chance at winning $5,000","Speed up","Car","Sprint away as fast as you can","Run","Drag","Sneak","Knife","Fight","Swing","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in safe high quality bonds or bond mutual funds","Somewhat comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$800 gain best case; $200 loss worst case","A sure gain of $500","16"
"edb576cc-42cd-48a4-888e-916bdd8a56c7","35","Willing to take risks after completing adequate research","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A mutual fund that owns stocks and bonds","10% in low-risk investments 40% in medium-risk investments 50% in high-risk investments","Three month's salary","Male","Under 25","Never married","High school graduate","$100,000 or greater","Yes","A 50% chance at winning $5,000","Confront him","Car","Slowly walk away (maybe you’ll lose him)","Quiet","Drag","Sneak","Knife","Fight","Swing","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in stocks or stock mutual funds","Very comfortable","Opportunity","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$800 gain best case; $200 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","15"
"ee18f5b6-cdd2-4148-b09d-d564242fa8a3","28","Willing to take risks after completing adequate research","A sure loss of $500","A mutual fund that owns stocks and bonds","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","Three month's salary","Male","Under 25","Married","Graduate or professional degree","Less than $25,000","No","A 50% chance at winning $5,000","Speed up","Car","Sprint away as fast as you can","Quiet","Drag","Outside","Knife","Fight","Swing","Cancel the vacation","Invest it in stocks or stock mutual funds","Not at all comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$2,600 gain best case; $800 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","15"
"f355a229-571e-4fe5-8427-a68ded35d40b","28","Willing to take risks after completing adequate research","A sure loss of $500","A mutual fund that owns stocks and bonds","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","Nothing","Male","45-54","Married","Bachelors degree","$100,000 or greater","No","A 25% chance at winning $10,000","Confront him","Car","Sprint away as fast as you can","Run","Drag","Sneak","Knife","Fight","Swing","Extend your vacation, because this might be your last chance to go first-class","Invest it in safe high quality bonds or bond mutual funds","Very comfortable","Uncertainty","Hold the bonds","$2,600 gain best case; $800 loss worst case","A sure gain of $500","14"
"f761ec01-6fb4-497d-95c2-8c7cead80e6d","34","A real gambler","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A portfolio of 15 common stocks","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","One month's salary","Male","Under 25","Never married","High school graduate","$100,000 or greater","No","A 25% chance at winning $10,000","Confront him","Car","Sprint away as fast as you can","Quiet","Cut","Outside","Knife","Fight","Swing","Take a much more modest vacation","Invest it in stocks or stock mutual funds","Somewhat comfortable","Opportunity","Hold the bonds","$2,600 gain best case; $800 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","15"
"fd3bb8eb-79b9-4b3d-89df-0d055f9c2de2","37","Willing to take risks after completing adequate research","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A single startup venture","10% in low-risk investments 40% in medium-risk investments 50% in high-risk investments","Three month's salary","Male","Under 25","Never married","Bachelors degree","$100,000 or greater","No","A 50% chance at winning $5,000","Confront him","Car","Sprint away as fast as you can","Run","Cut","Outside","Bottle","Fight","Throw","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in stocks or stock mutual funds","Very comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$2,600 gain best case; $800 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","14"
